g++ -c -O3  -Wall -fmessage-length=0 -std=c++0x  -I. -I../task2/src/ -I. -I/opt/hwloc-1.4/include/ -o lib/set_bench/SetBench.o test/set_bench/SetBench.cpp
g++ -o bin/pheet_test  lib/pheet_tests.o lib/Test.o lib/graph_bipartitioning/GraphBipartitioningTests.o lib/sorting/SortingTests.o lib/inarow/InARowTests.o lib/n-queens/NQueensTests.o lib/lupiv/LUPivTests.o lib/uts/RecursiveSearch/rng/brg_sha1.o lib/uts/RecursiveSearch/uts.o lib/uts/UTSTests.o lib/uts/UTSImp.o  lib/sor/SORTests.o lib/prefix_sum/PrefixSumTests.o lib/set_bench/SetBench.o lib/count_bench/CountBench.o lib/sssp/SsspTests.o lib/tristrip/TriStripTests.o -L/opt/gcc-4.7/lib/ -L/opt/gcc-4.7/lib64/ -L/opt/hwloc-1.4/lib/ -lpthread -lhwloc -L../advanced_multiprocessor_programming/task2/build/src/  -lcuckooset -L../advanced_multiprocessor_programming/task2/build/src/  -lstdset
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	10.3224	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.4449	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	11.3951	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	15.026	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	17.1076	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	21.2716	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	5.00983	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	14.3348	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	15.6218	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	19.5007	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	23.0672	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	28.2793	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	37.6201	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.27055	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	10.2836	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.3639	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	11.4264	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	15.0127	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	17.0447	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	21.2688	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	4.99668	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	11.8732	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	15.5194	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	19.0334	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	22.8494	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	28.7206	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	37.5649	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.27548	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	10.3072	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.4009	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	11.5243	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	15.1519	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	17.0796	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	21.295	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	4.99508	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	14.2674	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	15.4549	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	19.2637	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	22.981	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	28.7475	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	37.77	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.28089	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	10.3008	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	10.3612	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	11.1334	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	15.0316	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	16.9463	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	21.329	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	4.99168	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	14.2343	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	15.4985	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	19.0343	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	22.9143	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	28.4473	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	37.646	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.27426	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	10.3133	
